,Lags,Q_statistic,p_value
0,1,0.513419247595692,0.47366242440031603
1,2,3.9947457888554947,0.13569129074322397
2,3,9.306256581860985,0.025484348395106982
3,4,26.028479491359533,3.1228925031163606e-05
4,5,26.22613854430535,8.06606989739964e-05
5,6,36.29132987729423,2.419535183642094e-06
6,7,39.582676093965375,1.5127597475269777e-06
7,8,39.59406125947966,3.812496064691434e-06
8,9,39.797409056829096,8.2682981229944e-06
9,10,39.8220535223725,1.8211872164285897e-05
